interview__key;date_q;hh_02;settlement;members;memnal;weight;fdpurch;fdcons;fdout;Z1;nfdpurch;nonfdgif;durble;expend;monincome;totincome;nonmoninc;y1_3amd.1.00;y1_3amd.2.00;y1_3amd.3.00;y1_3amd.4.00;y1_3amd.6.00;y1_3amd.8.00;y1_3amd.9.00;y1_3amd.10.00;y1_3amd.13.00;y1_3amd.14.00;y1_3amd.15.00;y1_3amd.17.00;y1_3amd.18.00;y1_3amd.19.00;y1_3amd.23.00;y1_3amd.28.00;hhch_0_3_sum;hhch_4_5_sum;hhch_6_11_sum;hhch_12_17_sum;hheld_63_65_sum;hheld_66_70_sum;hheld_71_80_sum;hheld_over81_sum;hheld_over63_sum;headsex;headeduc;headmerstatus;headage;aec_r;poverty;pweight;ae_r;hous_01;hous_13;hous_16;hous_29_1n;hous_29_2n;hous_29_3n;hous_29_4n;hous_29_5n;hous_29_6n;hous_39;hous_44;soc_01;soc_05;hous_47_8
00-02-43-24;2019,09;6;1;4;4;156,330247;16142,55952;130,357143;0;1749,933798;4758,928571;3000;0;24031,84524;85000;88130,35714;3130,357143;85000;;;;;;;;;;;;;;;;1;;;;;;;;;2;3;3;54;21173,3418;3;625,320984;3,084571;2;1;1;0;0;0;0;0;1;1;4;2;;
00-02-53-94;2019,11;7;1;1;1;199,569444;15403,86905;0;0;2359,233382;7669,345238;9000;0;32073,21429;15000;24000;9000;;;;;;;;;;;;;;15000;;;;;;;;;;;;2;5;2;56;56025,17969;1;199,569443;1;2;1;1;0;1;0;0;0;0;1;3;2;;1
00-02-68-45;2019,11;1;1;1;1;164,703704;44234,52381;0;0;835,859366;2063,988095;46736,10938;0;93034,62128;202000;248736,1094;46736,10938;;;;52000;;;;;;;;;150000;;;;;;;;;;;1;1;2;6;3;84;103682,6641;1;164,703705;1;2;1;1;0;1;1;0;0;0;1;3;2;;1
00-09-10-75;2019,11;8;1;3;3;185,768519;34283,92857;76,041667;0;3164,407161;3497,916667;8500;0;46357,88691;100000;108576,0417;8576,041667;100000;;;;;;;;;;;;;;;;;;;;;;;;;1;3;1;40;28869,33984;2;557,305542;2,600731;2;1;1;0;0;1;0;0;0;1;3;2;;
00-10-58-42;2019,03;8;2;5;5;126,657407;22530,05952;12678,36364;0;2250,96114;11884,22619;45388,88867;0;92481,53803;3600;61667,25231;58067,25231;;;3600;;;;;;;;;;;;;;1;;;;;;;;;1;4;1;54;35757,77734;2;633,287048;3,807887;4;1;1;0;0;1;0;0;0;2;5;1;;1
00-14-66-55;2019,06;8;1;1;1;185,768519;24181,25;0;0;5378,258104;2129,166667;41061,10938;0;67371,52604;155600;196661,1094;41061,10938;;;;48000;;;;;;;;;;107600;;;;;;;;;1;;1;1;5;4;76;138201,6406;1;185,768524;0,746365;2;1;1;0;0;1;0;0;0;1;3;2;;3
00-15-66-18;2019,11;11;2;5;3;99,796296;33784,22619;47757,69605;5431,547619;2917,423893;65047,32143;17050;0;169070,7913;252160;316967,6961;64807,69605;100000;;2000;;24000;;;;;;;;12000;114160;;;;;1;;;;;;;1;3;1;45;85182,625;1;299,388885;2,335501;1;1;1;0;0;0;0;0;1;4;4;1;4;1
00-16-09-14;2019,03;4;2;5;5;192,157407;48427,67857;0;0;1132,037984;40000;13500;22500;124427,6786;151866,6667;165366,6667;13500;60000;;666,666667;91200;;;;;;;;;;;;;;;;;;;;;;1;5;1;58;34191,03125;2;960,787048;3,649859;1;1;1;0;0;0;0;0;1;2;3;2;;1
00-17-21-37;2019,12;3;1;3;3;91,064815;37260,41667;0;0;1500,669908;16207,7381;17627,77783;21500;92595,93259;100000;117627,7778;17627,77783;100000;;;;;;;;;;;;;;;;;;1;;;;;;;1;2;1;40;36961,33203;2;273,194458;2,334661;1;1;2;0;0;0;0;0;1;1;4;2;;1
00-22-01-17;2019,06;6;1;5;5;156,330247;120319,6429;0;0;6765,328772;15473,51191;61971,10938;0;197764,2641;125000;186971,1094;61971,10938;;;;101500;23500;;;;;;;;;;;;;;1;;;1;1;;2;1;5;1;71;63416,55469;1;781,651245;3,807887;1;1;1;0;0;0;0;0;1;1;4;1;10;
